T,n_regressors,scan_type,prob,crit_val,crit_val_se,n_finite,n_total
500,2,fw,0.05,-5.01110221521956,0.0182790617265784,10000,10000
500,2,fw,0.1,-4.69652457602214,0.014668934443828,10000,10000
700,2,fw,0.01,-5.63251685352369,0.0343544511757872,10000,10000
700,2,fw,0.05,-5.05240009507367,0.0207290551832979,10000,10000
700,2,fw,0.1,-4.73524423734111,0.0124263181329951,10000,10000
900,2,fw,0.01,-5.59962019144526,0.0252852829632892,10000,10000
900,2,fw,0.05,-5.0275054002089,0.0154748146903549,10000,10000
900,2,fw,0.1,-4.75731257795541,0.0125487193641446,10000,10000
1000,2,fw,0.01,-5.62587470929117,0.0374810748311323,10000,10000
1000,2,fw,0.05,-5.01103492317587,0.0149959326434709,10000,10000
1000,2,fw,0.1,-4.74890615070139,0.0139779616090336,10000,10000
50,3,fw,0.01,-5.70817893368512,0.0480203511019694,10000,10000
50,3,fw,0.05,-4.97895557781788,0.0269565177355732,10000,10000
50,3,fw,0.1,-4.58504639431447,0.0177101188206496,10000,10000
75,3,fw,0.01,-5.98690827570043,0.0448388564307084,10000,10000
75,3,fw,0.05,-5.26359737255535,0.0207771424104377,10000,10000
75,3,fw,0.1,-4.85645150987208,0.0197681456786532,10000,10000
100,3,fw,0.01,-5.93397192655006,0.036381106827544,10000,10000
100,3,fw,0.05,-5.29145287028422,0.0204200141870761,10000,10000
100,3,fw,0.1,-4.95494867605169,0.0152330843018129,10000,10000
150,3,fw,0.01,-5.92057074723438,0.0365947783786866,10000,10000
150,3,fw,0.05,-5.33363125485377,0.0173052182990858,10000,10000
150,3,fw,0.1,-5.02135019506302,0.017359371992959,10000,10000
200,3,fw,0.01,-6.03773217115788,0.0344202996914713,10000,10000
200,3,fw,0.05,-5.34988977980352,0.0195964291052039,10000,10000
200,3,fw,0.1,-5.02587888504283,0.0161417035933144,10000,10000
250,3,fw,0.01,-5.98569467776341,0.0285996017005796,10000,10000
250,3,fw,0.05,-5.38407142707788,0.0145541181337999,10000,10000
250,3,fw,0.1,-5.05642672102565,0.0155431120912053,10000,10000
300,3,fw,0.01,-5.98940051179656,0.0383513456959867,10000,10000
300,3,fw,0.05,-5.39868341786065,0.0188024768748181,10000,10000
300,3,fw,0.1,-5.1032634937932,0.0141309750033573,10000,10000
400,3,fw,0.01,-6.03296018514761,0.0355342125296195,10000,10000
400,3,fw,0.05,-5.39639453519951,0.0229845449873056,10000,10000
400,3,fw,0.1,-5.09231068080488,0.0159889130150746,10000,10000
500,3,fw,0.01,-6.06991672492411,0.0356756821914143,10000,10000
500,3,fw,0.05,-5.43383105368507,0.0155537971042724,10000,10000
500,3,fw,0.1,-5.12858643346342,0.0145763822235153,10000,10000
700,3,fw,0.01,-6.03502874475628,0.0419374856172729,10000,10000
700,3,fw,0.05,-5.43358422270411,0.0197831489489871,10000,10000
700,3,fw,0.1,-5.13498507612457,0.0112337224827992,10000,10000
900,3,fw,0.01,-6.13056436595984,0.0391491215393314,10000,10000
900,3,fw,0.05,-5.46335658447023,0.0172462377992458,10000,10000
900,3,fw,0.1,-5.16221408289657,0.0147049999399997,10000,10000
1000,3,fw,0.01,-6.06577761537652,0.0322656311725057,10000,10000
1000,3,fw,0.05,-5.46703753914314,0.0159067496395171,10000,10000
1000,3,fw,0.1,-5.18882607982697,0.0135625179482834,10000,10000
50,4,fw,0.01,-6.12451842181006,0.0447070758203559,10000,10000
50,4,fw,0.05,-5.38624275688532,0.0236741911296351,10000,10000
50,4,fw,0.1,-4.98240086399713,0.0199559968830778,10000,10000
75,4,fw,0.01,-6.22460138508914,0.0405260815802831,10000,10000
75,4,fw,0.05,-5.57589493208613,0.025966334258894,10000,10000
75,4,fw,0.1,-5.22161420610158,0.016476315481653,10000,10000
100,4,fw,0.01,-6.31156498502497,0.0285532752256244,10000,10000
100,4,fw,0.05,-5.63673588801327,0.0197345452100313,10000,10000
100,4,fw,0.1,-5.29835329479728,0.0142953473475023,10000,10000
