scan_type,n_regressors,prob,b0,b1,b2,b3,resid_se,r_squared,n_T_points,T_min,T_max,power_used
all,2,0.01,-7.9029742637071,258.790400089683,-17858.115001689,507518.046387366,1.80737438060833,0.99052797846498,12,50,1000,3
all,2,0.05,-7.29371830279627,249.036023132406,-16534.0200953075,483985.863580827,2.54316357870142,0.99530158267418,12,50,1000,3
all,2,0.1,-7.04189659946863,257.490436243469,-16709.2538112367,486008.252538122,2.69425462439613,0.997108431437911,12,50,1000,3
all,3,0.01,-8.28610286867156,224.102702426813,-12679.3678700837,324089.154207214,1.609404207236,0.991881849956804,12,50,1000,3
all,3,0.05,-7.69601018514582,246.917631715828,-15327.5802415875,427933.812373999,2.36118105119802,0.99559707676085,12,50,1000,3
all,3,0.1,-7.44688497519793,261.814068212921,-16536.1135204811,464052.870615084,3.06964868064447,0.996808828642111,12,50,1000,3
all,4,0.01,-8.7853525444229,270.234401318625,-17945.7699385526,497808.768111086,1.42842477646695,0.993461312721874,12,50,1000,3
all,4,0.05,-8.13732217640055,264.024349876186,-17397.5779159275,498237.779693517,1.84017182638954,0.997561295695324,12,50,1000,3
all,4,0.1,-7.8669786659836,273.658661228481,-18075.8417593589,519289.329606428,2.6894125471859,0.997123918343461,12,50,1000,3
all,5,0.01,-9.04140460810677,165.706541469878,-3396.9410306079,,1.79197263751726,0.987770755784254,12,50,1000,2
all,5,0.05,-8.55823701001532,279.886660724538,-18163.3402587502,501774.59157265,2.23509614050812,0.995593450487251,12,50,1000,3
all,5,0.1,-8.24563849778485,270.874471461335,-16777.3424082635,464746.481224838,2.32515497652293,0.998044409507669,12,50,1000,3
all,6,0.01,-9.64924359109296,315.694860315005,-24828.9017801058,759089.162849959,1.29766861953471,0.994175826259284,12,50,1000,3
all,6,0.05,-8.9135383349063,271.887816011335,-17526.4256173787,494997.923752269,2.00296131138448,0.997491565805568,12,50,1000,3
all,6,0.1,-8.6429974828881,288.901300316178,-18767.6937558815,523150.284861449,2.85154736435595,0.996641452538981,12,50,1000,3
